,民國103年第1季,民國103年第1季,民國103年第1季,民國103年第1季,民國103年第1季,民國103年第1季,民國103年第1季,民國103年第1季,民國103年第1季
,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
,會計項目,103年03月31日,103年03月31日,102年12月31日,102年12月31日,102年03月31日,102年03月31日,Unnamed: 7_level_2,Unnamed: 8_level_2
,Unnamed: 0_level_3,金額,%,金額,%,金額,%,Unnamed: 7_level_3,Unnamed: 8_level_3
0,流動資產,,,,,,,,
1,現金及約當現金,803361.0,10.98,886326.0,12.59,821261.0,12.58,,
2,透過損益按公允價值衡量之金融資產－流動,625152.0,8.54,583919.0,8.29,436897.0,6.69,,
3,備供出售金融資產－流動淨額,16151.0,0.22,17597.0,0.25,18803.0,0.29,,
4,應收票據淨額,20008.0,0.27,12364.0,0.18,22827.0,0.35,,
5,應收帳款淨額,224061.0,3.06,253720.0,3.6,265947.0,4.07,,
6,其他應收款淨額,32407.0,0.44,34750.0,0.49,57636.0,0.88,,
7,存貨,36556.0,0.5,39216.0,0.56,35505.0,0.54,,
8,預付款項,99893.0,1.37,61230.0,0.87,73041.0,1.12,,
9,其他流動資產,198920.0,2.72,213221.0,3.03,134134.0,2.05,,
10,流動資產合計,2056509.0,28.11,2102343.0,29.86,1866051.0,28.58,,
11,非流動資產,,,,,,,,
12,以成本衡量之金融資產－非流動淨額,500.0,0.01,500.0,0.01,500.0,0.01,,
13,不動產、廠房及設備,2870212.0,39.23,2614414.0,37.13,2335686.0,35.77,,
14,投資性不動產淨額,345492.0,4.72,332411.0,4.72,374894.0,5.74,,
15,無形資產,1686165.0,23.05,1654541.0,23.5,1665778.0,25.51,,
16,遞延所得稅資產,53591.0,0.73,54985.0,0.78,65206.0,1.0,,
17,其他非流動資產,304274.0,4.16,281659.0,4.0,220901.0,3.38,,
18,非流動資產合計,5260234.0,71.89,4938510.0,70.14,4662965.0,71.42,,
19,資產總額,7316743.0,100.0,7040853.0,100.0,6529016.0,100.0,,
20,流動負債,,,,,,,,
21,短期借款,118000.0,1.61,115500.0,1.64,325061.0,4.98,,
22,應付短期票券,23400.0,0.32,19000.0,0.27,30000.0,0.46,,
23,透過損益按公允價值衡量之金融負債－流動,5348.0,0.07,7748.0,0.11,0.0,0.0,,
24,應付票據,26396.0,0.36,15432.0,0.22,18453.0,0.28,,
25,應付帳款,236315.0,3.23,259232.0,3.68,211221.0,3.24,,
26,其他應付款,613140.0,8.38,726383.0,10.32,529749.0,8.11,,
27,當期所得稅負債,191404.0,2.62,129364.0,1.84,192612.0,2.95,,
28,其他流動負債,352911.0,4.82,363937.0,5.17,644863.0,9.88,,
29,流動負債合計,1566914.0,21.42,1636596.0,23.24,1951959.0,29.9,,
30,非流動負債,,,,,,,,
31,應付公司債,1403823.0,19.19,1398362.0,19.86,0.0,0.0,,
32,長期借款,157143.0,2.15,171429.0,2.43,715430.0,10.96,,
33,遞延所得稅負債,522.0,0.01,458.0,0.01,13623.0,0.21,,
34,其他非流動負債,443200.0,6.06,439113.0,6.24,442960.0,6.78,,
35,非流動負債合計,2004688.0,27.4,2009362.0,28.54,1172013.0,17.95,,
36,負債總額,3571602.0,48.81,3645958.0,51.78,3123972.0,47.85,,
37,歸屬於母公司業主之權益,,,,,,,,
38,股本,,,,,,,,
39,普通股股本,1062937.0,14.53,1062937.0,15.1,966306.0,14.8,,
40,股本合計,1062937.0,14.53,1062937.0,15.1,966306.0,14.8,,
41,資本公積,,,,,,,,
42,資本公積－庫藏股票交易,204521.0,2.8,204521.0,2.9,301152.0,4.61,,
43,資本公積－認股權,103299.0,1.41,103299.0,1.47,0.0,0.0,,
44,資本公積合計,307820.0,4.21,307820.0,4.37,301152.0,4.61,,
45,保留盈餘,,,,,,,,
46,法定盈餘公積,966306.0,13.21,966306.0,13.72,878460.0,13.45,,
47,特別盈餘公積,148541.0,2.03,148541.0,2.11,0.0,0.0,,
48,未分配盈餘（或待彌補虧損）,1341089.0,18.33,1044369.0,14.83,1317053.0,20.17,,
49,保留盈餘合計,2455936.0,33.57,2159216.0,30.67,2195513.0,33.63,,
50,其他權益,,,,,,,,
51,國外營運機構財務報表換算之兌換差額,-157917.0,-2.16,-213465.0,-3.03,-144379.0,-2.21,,
52,備供出售金融資產未實現損益,-4413.0,-0.06,-2967.0,-0.04,-1761.0,-0.03,,
53,其他權益合計,-162330.0,-2.22,-216432.0,-3.07,-146140.0,-2.24,,
54,歸屬於母公司業主之權益合計,3664363.0,50.08,3313541.0,47.06,3316831.0,50.8,,
55,非控制權益,80778.0,1.1,81354.0,1.16,88213.0,1.35,,
56,權益總額,3745141.0,51.19,3394895.0,48.22,3405044.0,52.15,,
57,預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,0.0,,,
58,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0.0,,0.0,,0.0,,,
